state,year,pcap,hwy,water,util,pc,gsp,emp,unemp
ALABAMA,1973,16406.26,7907.66,1742.41,6756.19,40084.01,33430,1135.5,3.9
ARIZONA,1973,11598.26,4963.46,1647.88,4986.92,27304.64,25244,714.5,4.1
ARKANSAS,1973,8399.59,3894.77,691.76,3813.06,21654.02,18825,614.5,4.1
CALIFORNIA,1973,135988.4,47064.46,19084.52,69839.43,193535.82,293735,7621.9,7
COLORADO,1973,12473.28,4982.21,2206.43,5284.65,27387.44,32417,936,3.4
CONNECTICUT,1973,17803.12,7492.12,2741.16,7569.84,27301.99,42157,1238.7,5.7
DELAWARE,1973,4725.12,2125.88,283.84,2315.4,6892.09,8604,239.4,4.6
FLORIDA,1973,33480.99,13999.7,4268.38,15212.91,66432.27,90897,2778.6,4.3
GEORGIA,1973,21015.05,8676.01,2267.56,10071.47,47422.01,52824,1802.5,3.9
IDAHO,1973,3737.66,2399.18,236.98,1101.51,10251.95,8352,251.7,5.6
ILLINOIS,1973,57288.3,25448.17,6807.99,25032.14,129514.1,163125,4466.9,4.1
INDIANA,1973,23230.94,9696.29,2947.49,10587.15,70189.83,66534,2028.1,4.2
IOWA,1973,16006.47,9424.4,1508.45,5073.62,37693.89,33798,961.3,2.9
KANSAS,1973,12137.4,6368.52,1513.71,4255.17,36179.12,29486,763.3,3.1
KENTUCKY,1973,17697.13,10008.41,1723.18,5965.55,34039.58,37305,1038.6,4.4
LOUISIANA,1973,21408.2,10606.21,2733.22,8068.78,101336.45,67100,1176.1,6
MAINE,1973,4272.26,2427.57,515.68,1329.01,10255.45,9949,354.8,5.9
MARYLAND,1973,22060.79,8386.45,4296.63,9377.71,33413.53,48728,1471.5,3.5
MASSACHUSETTS,1973,25765.21,9033.16,2755.1,13976.94,43388.76,70876,2333.5,6.7
MICHIGAN,1973,47923.55,18834.46,9556.35,19532.75,94302.49,122991,3284.3,5.8
MINNESOTA,1973,24731.18,11172.43,3809.76,9748.98,48841.94,47805,1436.1,4.4
MISSISSIPPI,1973,11076.23,5491.42,923.12,4661.69,24473.04,20605,693.2,3.6
MISSOURI,1973,22079.1,10518.19,2798.25,8762.66,49585.63,56789,1770.6,3.7
MONTANA,1973,5241.43,3786.46,360.64,1094.33,15347.47,8948,224.2,6.3
NEBRASKA,1973,10785.36,4469.52,1042.23,5273.6,21324.54,18284,541.3,3.3
NEVADA,1973,4160.79,2116.82,508.31,1535.66,12261.06,8774,244.6,6.2
NEW HAMPSHIRE,1973,3559.45,2057.3,322.28,1179.87,6965.5,8098,297.8,3.9
NEW JERSEY,1973,29544.99,12813.13,4386.79,12345.07,65220.99,97847,2759.7,5.6
NEW MEXICO,1973,6326.03,3442.98,779.31,2103.74,20592.77,14588,346,5.7
NEW YORK,1973,121450.05,36678.41,12806.81,71964.82,157017.53,258498,7132.2,5.4
NORTH CAROLINA,1973,19081.72,8810.08,2458.58,7813.07,49858.52,57975,2018.1,3.5
NORTH DAKOTA,1973,4330.52,2834.21,309.31,1187.01,12675.35,8120,183.9,5.1
OHIO,1973,52356.39,24882.94,8181.22,19292.23,118487.46,137636,4112.9,4.3
OKLAHOMA,1973,11832.9,5697.07,1502.23,4633.6,41815.94,36333,851.9,4.2
OREGON,1973,12150.51,6085.11,1824.76,4240.64,25304.46,26976,816.2,5.3
PENNSYLVANIA,1973,58090.06,24636.92,7318.54,26134.6,118691.16,142970,4506.5,4.8
RHODE ISLAND,1973,4498.12,2179.26,563.72,1755.15,6109.18,10496,365.9,6.2
SOUTH CAROLINA,1973,9554.06,4348.79,1474.87,3730.4,28224.77,24919,984,3.7
SOUTH DAKOTA,1973,4407.53,3145.05,270.82,991.66,10017.65,7048,199.1,3.3
TENNESSEE,1973,22886.75,9744.11,3117.33,10025.31,43491.51,43424,1531.1,3
TEXAS,1973,59134.01,28414.53,8972.86,21746.62,229705.43,183467,4141.7,3.9
UTAH,1973,6928.74,3497.85,599.48,2831.4,12493.5,12850,414.8,5.7
VERMONT,1973,2967.25,1965.24,272.79,729.22,4577.6,4801,161.3,5.6
VIRGINIA,1973,22927,12172.65,2853.28,7901.07,39992.09,56762,1753.4,3.6
WASHINGTON,1973,28392.6,9681.89,3549.61,15161.1,42227.19,43470,1152.3,7.7
WEST VIRGINIA,1973,8245.21,5519.66,562.16,2163.39,27227.32,19741,561.6,5.7
WISCONSIN,1973,25226.91,10214.01,4078,10934.89,43778.56,52062,1660.5,4.1
WYOMING,1973,3722.93,2785.44,261.83,675.66,14936.34,8067,126.1,3.5